Hanzaban,English,Type,Category
mi,me/i,pronoun,pronouns 
nah,you,pronoun,pronouns
nat,self,pronoun,pronouns
naxiang,each other,pronoun,pronouns
tilk,that,pronoun,pronouns
ba,some,pronoun,pronouns
kull,all,pronoun,pronouns
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
neng,can,verb,modal verb
lazim,need,verb,modal verb  
jaiz,allowed,verb,modal verb
sazav,deserve,verb,modal verb 
kosh,try,verb,modal verb
moaf,suceed,verb,modal verb
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
bu,not/no,verb,verb modifers 
yin,cause,verb,verb modifiers
shou,begin,verb,verb modifiers 
bei,passive,verb,verb modifiers
mayel,prone(to),verb,verb modifiers
aks,undo,verb,verb modifiers
faam,back and forth,verb,verb modifiers
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
hema,with,prepositions,prepositions
xila,towards,prepositions,prepositions
taba,exchange,prepositions,prepositions
hou,after,prepositions,prepositions
jian,among,prepositions,prepositions
jiana,alongside,prepositions,prepositions
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
kaf wen,how,markers,markers
ha wen,when,markers,markers
gu wen,where,markers,markers
nae wen,who,markers,markers
wen,why,markers,markers
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
aga,if,conjuction,logic
chu,because,conjuction,logic
o,and,conjuction,logic
be,be,verb,logic
do,do,verb,logic
ol,or,conjuction,logic
yema,maybe,adverb,logic
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
nae,living person,noun,noun
bae,non living,noun,noun
nai,woman,noun,noun
nao,man,noun,noun
ko,tool,noun,noun
gu,specialized place,noun,noun
pe,thing,noun,noun
zu,fact of,noun,noun
ma,type/way,noun,noun
ka,colour,noun,noun
zi,small,noun,noun
ma,big,noun,noun
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
paz,cook,verb,activity
kaam,work,verb,activity
kashi,draw,verb,activity
eat,eat,verb,activity
dam,breathe,verb,activity 
khaid,buy,verb,activitity
hal,(re)solve,noun,activity
jadu,do magic,verb,activity
git,give,verb,activity
toxe,take,verb,activity
mij,make,verb,activity
gegu,get,verb,activity
pola,put,verb,activity
fand,find,verb,activity
help,help,verb,activity
aoz,ask,verb,activity
ans,answer,verb,activity
leli,read,verb,activity
tuchal,think,verb,activity
luhoz,learn,verb,activity
mel,teach,verb,activity
fosho,forget,verb,activity
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
yomak,have,verb,control 
kon,control,noun,control 
yusa,use,noun,control
ya,command,noun,control
check,check,noun,control 
fanun,rule/law,noun,control 
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
ja,go,verb,movement
dast,hold,verb,movement
move,move,verb,movement
mula,meet,verb,movement
